Date,Global_Total_GHG_emissions,Global_Non-energy_related_GHG_emissions,Global_Energy-related_GHG_emissions,GlobalTotal_CO2_emissions,Global_Nonenergy_related_CO2_emissions,Global_Energy_related_CO2_emissions,Global_Oil_CO2Emissions,GlobaNatural_gas_Emissions,Global_Coal_Emissions,Global_Biomass_EmmissionReduction,Global_CO2_Emissions_per_GDP,Global_CO2_Emissionsper_Capita,GlobalCO2_Emissions_per_Primary_Energy_Consumption,Global_CO2_Emissions_relative_to_2005_Level,Residential_MTOE,Agricultural_MTOE,Commercial_MTOE,Industry_MTOE,Feedstocks_MTOE,Transport_MTOE,Road_transport_MTOE,Rail_MTOE,Aviation_MTOE,Marine_bunkers_MTOE,Other_transport_MTOE,Total_Demand_by_sector_MTOE,Global_Residential_Emissions,Global_Commercial_emissions,Global_Agricultural_emmissions,Global_Transportation_Emissions,Global_Road_transport_emissions,Global_Rail_emissions,Global_Aviation_emmissions,Global_Marine_ bunkers_emmisions,Global_Other_transport_emmission,Global_Industrial_CO2,Global_Electric_CO2,Global_District_ heating_CO2,Global_Other_CO2,Total,Carbontax_Canada,CarbonTax_China_mainland,Carbontax_France,Carbontax_Germany,Carbontax_Italy,Carbontax_Japan,Carbontax_United_Kingdom,Carbontax_United_States_01,Global_Energy-related_CO2 captured_saved_by_fuel,Oil_emissions_captured_saved,NGAS_emissions_captured_saved,Coal_emissions_captured_saved,Biomass_emissions_captured_saved,Industrial_CO2_captured_Saved,District_heating_captured_saved,Electric_power_captured_saved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,"34,674","10,377","24,297","24,678","3,020","21,658","9,096","3,735","8,827",0,566.8,4.1,2.5,0.77,"1,535.4",160.0,701.0,"1,731.4",344.4,"1,527.9","1,109.2",43.5,154.6,150.6,69.9,"6,000.1","1,841","1,083",417,"4,585",NA,NA,NA,NA,NA,"4,527","6,252","1,243","1,712","21,658",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,"33,886","10,337","23,549","23,913","2,977","20,936","8,859","3,703","8,374",0,541.0,3.9,2.4,0.74,"1,565.8",167.8,724.0,"1,721.1",357.3,"1,563.5","1,138.8",43.2,152.0,157.1,72.4,"6,099.5","1,831","1,100",401,"4,554",NA,NA,NA,NA,NA,"4,055","6,264","1,211","1,519","20,936",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1992,"33,916","10,409","23,506","23,853","2,966","20,887","8,948","3,707","8,232",0,529.5,3.8,2.4,0.74,"1,571.7",166.7,699.4,"1,687.8",368.0,"1,604.7","1,163.4",43.9,157.5,166.6,73.3,"6,098.4","1,804",967,402,"4,681",NA,NA,NA,NA,NA,"3,934","6,396","1,196","1,508","20,887",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1993,"34,048","10,458","23,590","23,960","2,983","20,977","8,972","3,770","8,234",0,523.6,3.8,2.4,0.74,"1,713.6",172.0,602.2,"1,673.8",371.4,"1,631.6","1,191.5",44.4,163.5,165.4,66.7,"6,164.6","1,859",985,395,"4,761",NA,NA,NA,NA,NA,"3,914","6,400","1,174","1,489","20,977",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1994,"34,219","10,456","23,763","23,996","2,842","21,154","9,077","3,782","8,295",0,511.6,3.7,2.4,0.75,"1,699.7",175.3,599.4,"1,659.5",380.6,"1,672.4","1,220.6",40.9,179.2,166.8,64.9,"6,186.8","1,779",942,402,"4,882",NA,NA,NA,NA,NA,"3,924","6,601","1,087","1,536","21,154",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1995,"34,861","10,537","24,324","24,487","2,773","21,715","9,278","3,913","8,523",0,509.8,3.8,2.4,0.77,"1,744.5",180.3,588.0,"1,734.6",395.3,"1,714.0","1,254.8",40.3,186.7,166.9,65.3,"6,356.6","1,858",900,419,"5,004",NA,NA,NA,NA,NA,"4,171","6,820","1,012","1,531","21,715",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1996,"35,037","10,134","24,903","24,575","2,304","22,271","9,500","4,097","8,674",0,505.1,3.8,2.4,0.79,"1,784.3",166.5,610.6,"1,715.3",407.4,"1,782.8","1,300.7",40.3,197.1,178.9,65.9,"6,466.9","1,893",913,383,"5,209",NA,NA,NA,NA,NA,"4,118","7,163",970,"1,620","22,271",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1997,"36,115","11,109","25,006","25,738","3,311","22,427","9,709","4,119","8,599",0,489.7,3.8,2.4,0.79,"1,786.5",179.5,609.9,"1,718.7",434.5,"1,810.4","1,327.9",38.5,204.5,178.1,61.3,"6,539.5","1,904",894,426,"5,290",NA,NA,NA,NA,NA,"4,113","7,337",916,"1,547","22,427",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1998,"35,184","10,269","24,916","24,902","2,414","22,488","9,772","4,143","8,572",0,478.0,3.8,2.3,0.80,"1,767.9",177.3,608.6,"1,708.9",437.3,"1,848.8","1,355.8",36.2,208.6,181.2,67.0,"6,548.8","1,780",845,421,"5,402",NA,NA,NA,NA,NA,"4,122","7,518",902,"1,498","22,488",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
